Country,Household_net_adjusted_disposable_income,Employment_rate,Long_term_unemployment_rate,Quality_of_support_network,Educational_attainment,Student_skills,Air_pollution,Water_quality,Voter_turnout,Life_expectancy,Life_satisfaction,Employees_working_very_long_hours
Australia,31197,72,1.06,93,74,514,13,93,93,82.0,7.4,14.23
Austria,29256,73,1.07,95,82,498,27,95,75,81.1,7.5,8.61
Belgium,27811,62,3.37,91,71,507,21,84,89,80.5,7.1,4.41
Canada,30212,72,0.9,94,89,522,15,90,61,81.0,7.6,3.98
Chile,13762,62,2.01,85,72,439,46,79,88,78.3,6.6,15.42
Czech Republic,17262,67,3.03,87,92,496,16,81,59,78.0,6.7,7.14
Denmark,25172,73,2.11,96,77,500,15,95,88,79.9,7.6,2.06
Estonia,14382,67,5.46,89,89,523,9,80,64,76.3,5.4,3.59
Finland,26904,70,1.65,93,84,529,15,95,69,80.6,7.4,3.7
France,29322,64,3.98,91,72,499,12,85,80,82.2,6.7,8.71
Germany,30721,73,2.52,93,86,514,16,94,72,80.8,7.0,5.6
Greece,19095,51,14.37,68,67,468,27,66,62,80.8,4.7,5.65
Hungary,15240,57,5.05,87,82,486,15,77,64,75.0,4.9,2.92
Iceland,22415,80,1.68,96,71,486,18,97,81,82.4,7.5,13.73
Ireland,23721,59,9.24,95,73,518,13,84,70,80.6,6.8,4.17
Israel,20434,67,0.91,89,83,474,21,66,68,81.8,7.1,18.77
Italy,24724,58,5.67,91,56,489,21,80,75,82.7,6.0,3.7
Japan,25066,71,1.67,90,93,538,24,86,59,82.7,6.0,22.62
Korea,18035,64,0.01,77,81,537,30,78,76,81.1,6.0,27.13
Luxembourg,35635,66,1.56,88,77,487,12,81,91,81.1,7.1,3.18
Mexico,12850,61,0.09,74,36,417,30,68,63,74.4,7.4,28.77
Netherlands,25697,75,1.78,92,72,522,30,94,75,81.3,7.4,0.59
New Zealand,21773,72,0.91,96,74,511,11,89,74,81.2,7.3,13.07
Norway,32093,76,0.28,93,82,498,16,96,78,81.4,7.7,3.1
Poland,16234,60,3.51,89,89,520,33,77,55,76.9,5.7,7.58
Portugal,18806,62,7.62,85,35,488,18,87,58,80.8,5.2,9.31
Slovak Republic,17228,60,8.89,88,91,469,13,82,59,76.1,5.9,6.48
Slovenia,19692,64,4.23,93,84,497,26,90,66,80.1,6.0,5.72
Spain,22799,56,11.13,92,54,490,24,75,69,82.4,6.2,5.95
Sweden,27546,74,1.4,91,87,484,10,97,85,81.9,7.4,1.14
Switzerland,30745,79,1.48,94,86,515,20,95,49,82.8,7.8,7.3
Turkey,13794,49,2.29,79,32,462,35,60,88,74.6,4.9,43.29
United Kingdom,25828,71,2.75,94,77,505,13,92,66,81.1,6.9,12.27
United States,39531,67,2.36,90,89,494,18,87,67,78.7,7.0,11.44
